Reported by,Metric Category,Metric,Sub-Group,Unit of Measure,Comments,Date,Value,Plant,Fuel
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2019-07-01,0.021,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2019-07-01,0.02,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2019-08-01,37.121,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2019-08-01,113.789,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2019-08-01,226.93,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2019-08-01,209.465,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2019-08-01,263.027,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2019-08-01,116.954,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2019-08-01,12.271,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2019-08-01,16.778,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2019-08-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2019-08-01,0.0974,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2019-08-01,2.15,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2019-08-01,1.663,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2019-08-01,2.2495,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2019-08-01,2.144,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2019-08-01,23.252,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2019-08-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2019-08-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2019-09-01,55.823,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2019-09-01,108.929,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2019-09-01,327.46,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2019-09-01,166.1,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2019-09-01,188.555,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2019-09-01,142.621,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2019-09-01,49.751,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2019-09-01,32.809,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2019-09-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2019-09-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2019-09-01,5.674,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2019-09-01,5.934,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2019-09-01,6.222300000000001,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2019-09-01,1.103,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2019-09-01,42.711,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2019-09-01,0.001,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2019-09-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2019-10-01,52.77,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2019-10-01,169.121,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2019-10-01,353.41,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2019-10-01,224.555,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2019-10-01,136.148,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2019-10-01,54.894,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2019-10-01,3.202,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2019-10-01,14.918001,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2019-10-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2019-10-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2019-10-01,2.669,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2019-10-01,2.193,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2019-10-01,2.768,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2019-10-01,0.0,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2019-10-01,2.404,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2019-10-01,0.001,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2019-10-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2019-11-01,54.271,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2019-11-01,122.444,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2019-11-01,381.91,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2019-11-01,206.925,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2019-11-01,126.342,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2019-11-01,39.899,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2019-11-01,1.087,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2019-11-01,5.215001,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2019-11-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2019-11-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2019-11-01,0.186,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2019-11-01,0.511,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2019-11-01,0.181,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2019-11-01,0.0,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2019-11-01,5.918,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2019-11-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2019-11-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2019-12-01,44.914,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2019-12-01,127.217,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2019-12-01,391.02,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2019-12-01,209.135,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2019-12-01,121.411,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2019-12-01,24.206,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2019-12-01,0.491,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2019-12-01,8.318,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2019-12-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2019-12-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2019-12-01,0.393,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2019-12-01,0.748,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2019-12-01,0.2523,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2019-12-01,0.0,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2019-12-01,1.178,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2019-12-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2019-12-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2020-01-01,70.421,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2020-01-01,183.826,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2020-01-01,75.13,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2020-01-01,173.24,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2020-01-01,152.976,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2020-01-01,110.592,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2020-01-01,22.976,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2020-01-01,61.993,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2020-01-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2020-01-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2020-01-01,5.885,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2020-01-01,10.02,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2020-01-01,5.864,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2020-01-01,0.014,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2020-01-01,57.387,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2020-01-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2020-01-01,0.055,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2020-02-01,94.347,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2020-02-01,216.401,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2020-02-01,0.0,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2020-02-01,157.73,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2020-02-01,148.301,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2020-02-01,123.829,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2020-02-01,21.839,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2020-02-01,58.063,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2020-02-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2020-02-01,2.5351,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2020-02-01,2.572,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2020-02-01,5.43,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2020-02-01,3.712,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2020-02-01,2.21,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2020-02-01,44.39,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2020-02-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2020-02-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2020-03-01,110.956,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2020-03-01,222.098,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2020-03-01,0.0,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2020-03-01,176.74,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2020-03-01,66.529,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2020-03-01,100.493,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2020-03-01,14.571,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2020-03-01,79.694,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2020-03-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2020-03-01,1.746,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2020-03-01,0.944699,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2020-03-01,1.257,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2020-03-01,1.389,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2020-03-01,1.159,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2020-03-01,18.037,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2020-03-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2020-03-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2020-04-01,66.038,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2020-04-01,231.147,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2020-04-01,0.0,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2020-04-01,184.19,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2020-04-01,86.12,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2020-04-01,130.685,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2020-04-01,19.308,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2020-04-01,56.692,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2020-04-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2020-04-01,3.447,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2020-04-01,1.88,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2020-04-01,3.63,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2020-04-01,2.308,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2020-04-01,1.788,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2020-04-01,20.153,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2020-04-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2020-04-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2020-05-01,72.844,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2020-05-01,182.034,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2020-05-01,0.0,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2020-05-01,235.685,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2020-05-01,212.856,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2020-05-01,138.732,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2020-05-01,27.182,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2020-05-01,69.146,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2020-05-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2020-05-01,3.084,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2020-05-01,1.824,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2020-05-01,4.103,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2020-05-01,4.784,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2020-05-01,1.51,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2020-05-01,35.585,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2020-05-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2020-05-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2020-06-01,61.081,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2020-06-01,236.091,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2020-06-01,0.0,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2020-06-01,398.65,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2020-06-01,204.878,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2020-06-01,127.962,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2020-06-01,33.506,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2020-06-01,71.3071,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2020-06-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2020-06-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2020-06-01,1.675,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2020-06-01,2.078,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2020-06-01,2.77,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2020-06-01,0.805,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2020-06-01,16.378,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2020-06-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2020-06-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2020-07-01,102.585,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2020-07-01,240.779,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2020-07-01,0.0,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2020-07-01,406.945,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2020-07-01,218.272,San Juan , Combined Cycle
